method,problem_index,mode,num_correct,n,k,dominant_ratio,entropy_norm,simpson,rubric,evaluable_correct_only
flowsd,aime24-00,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-00,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-01,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-01,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-02,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-02,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-03,all,11,16,3,0.4375,0.3865449229868744,0.6484375,3,False
flowsd,aime24-03,correct_only,11,11,3,0.36363636363636365,0.45459018626725595,0.6611570247933884,4,True
flowsd,aime24-04,all,0,16,3,0.6875,0.2998650733254103,0.4765625,2,False
flowsd,aime24-04,correct_only,0,0,,,,,,False
flowsd,aime24-05,all,11,16,4,0.4375,0.38589111079989913,0.609375,3,False
flowsd,aime24-05,correct_only,11,11,2,0.6363636363636364,0.27335713170510495,0.4628099173553719,3,True
flowsd,aime24-06,all,0,16,6,0.3125,0.5746987351738497,0.765625,4,False
flowsd,aime24-06,correct_only,0,0,,,,,,False
flowsd,aime24-07,all,16,16,2,0.5625,0.24717485207212436,0.4921875,3,False
flowsd,aime24-07,correct_only,16,16,2,0.5625,0.24717485207212436,0.4921875,3,True
flowsd,aime24-08,all,7,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-08,correct_only,7,7,1,1.0,-0.0,0.0,1,True
flowsd,aime24-09,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-09,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-10,all,15,16,3,0.625,0.3246987351738497,0.53125,3,False
flowsd,aime24-10,correct_only,15,15,3,0.6,0.3425406714948009,0.5511111111111111,3,True
flowsd,aime24-11,all,12,16,5,0.4375,0.5131053209573412,0.71875,3,False
flowsd,aime24-11,correct_only,12,12,4,0.5833333333333334,0.45021543810557146,0.5972222222222222,3,True
flowsd,aime24-12,all,15,16,2,0.9375,0.08432251665425347,0.1171875,1,False
flowsd,aime24-12,correct_only,15,15,1,1.0,-0.0,0.0,1,True
flowsd,aime24-13,all,0,16,3,0.5,0.36930425036562065,0.6171875,3,False
flowsd,aime24-13,correct_only,0,0,,,,,,False
flowsd,aime24-14,all,16,16,2,0.875,0.1358911107998991,0.21875,1,False
flowsd,aime24-14,correct_only,16,16,2,0.875,0.1358911107998991,0.21875,1,True
flowsd,aime24-15,all,2,16,5,0.375,0.5389097655573917,0.75,4,False
flowsd,aime24-15,correct_only,2,2,2,0.5,1.0,0.5,3,True
flowsd,aime24-16,all,5,16,3,0.625,0.3246987351738497,0.53125,3,False
flowsd,aime24-16,correct_only,5,5,1,1.0,-0.0,0.0,1,True
flowsd,aime24-17,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-17,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-18,all,1,16,5,0.5,0.48820488277869584,0.6796875,3,False
flowsd,aime24-18,correct_only,1,1,1,1.0,0,0.0,1,False
flowsd,aime24-19,all,10,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-19,correct_only,10,10,1,1.0,-0.0,0.0,1,True
flowsd,aime24-20,all,7,16,2,0.6875,0.22400955813363935,0.4296875,2,False
flowsd,aime24-20,correct_only,7,7,2,0.5714285714285714,0.3509453429964406,0.48979591836734704,3,True
flowsd,aime24-21,all,14,16,2,0.75,0.2028195311147832,0.375,2,False
flowsd,aime24-21,correct_only,14,14,2,0.7142857142857143,0.2266982160150638,0.40816326530612246,2,True
flowsd,aime24-22,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-22,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-23,all,7,16,4,0.4375,0.46240043817864535,0.6953125,3,False
flowsd,aime24-23,correct_only,7,7,3,0.5714285714285714,0.49113258984568264,0.5714285714285714,3,True
flowsd,aime24-24,all,16,16,4,0.75,0.29656953111478324,0.4140625,2,False
flowsd,aime24-24,correct_only,16,16,4,0.75,0.29656953111478324,0.4140625,2,True
flowsd,aime24-25,all,16,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-25,correct_only,16,16,1,1.0,-0.0,0.0,1,True
flowsd,aime24-26,all,10,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-26,correct_only,10,10,1,1.0,-0.0,0.0,1,True
flowsd,aime24-27,all,14,16,3,0.75,0.253524413893479,0.3984375,2,False
flowsd,aime24-27,correct_only,14,14,2,0.7857142857142857,0.19688084578528792,0.33673469387755106,2,True
flowsd,aime24-28,all,15,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-28,correct_only,15,15,1,1.0,-0.0,0.0,1,True
flowsd,aime24-29,all,14,16,1,1.0,-0.0,0.0,1,False
flowsd,aime24-29,correct_only,14,14,1,1.0,-0.0,0.0,1,True
grpo,aime24-00,all,15,16,2,0.9375,0.08432251665425347,0.1171875,1,False
grpo,aime24-00,correct_only,15,15,1,1.0,-0.0,0.0,1,True
grpo,aime24-01,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-01,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-02,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-02,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-03,all,16,16,2,0.8125,0.17405306503128645,0.3046875,2,False
grpo,aime24-03,correct_only,16,16,2,0.8125,0.17405306503128645,0.3046875,2,True
grpo,aime24-04,all,0,16,4,0.8125,0.24834818225259067,0.328125,2,False
grpo,aime24-04,correct_only,0,0,,,,,,False
grpo,aime24-05,all,8,16,3,0.625,0.3246987351738497,0.53125,3,False
grpo,aime24-05,correct_only,8,8,1,1.0,-0.0,0.0,1,True
grpo,aime24-06,all,0,16,4,0.4375,0.43724980576557015,0.671875,3,False
grpo,aime24-06,correct_only,0,0,,,,,,False
grpo,aime24-07,all,16,16,3,0.4375,0.3865449229868744,0.6484375,3,False
grpo,aime24-07,correct_only,16,16,3,0.4375,0.3865449229868744,0.6484375,3,True
grpo,aime24-08,all,5,16,2,0.9375,0.08432251665425347,0.1171875,1,False
grpo,aime24-08,correct_only,5,5,2,0.8,0.31091750708257115,0.31999999999999984,2,True
grpo,aime24-09,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-09,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-10,all,16,16,2,0.9375,0.08432251665425347,0.1171875,1,False
grpo,aime24-10,correct_only,16,16,2,0.9375,0.08432251665425347,0.1171875,1,True
grpo,aime24-11,all,7,16,3,0.5625,0.3118890622295664,0.5390625,3,False
grpo,aime24-11,correct_only,7,7,2,0.8571428571428571,0.21075809614719845,0.24489795918367352,2,True
grpo,aime24-12,all,8,16,4,0.5,0.4257048827786958,0.6484375,3,False
grpo,aime24-12,correct_only,8,8,1,1.0,-0.0,0.0,1,True
grpo,aime24-13,all,0,16,3,0.375,0.3948585007312413,0.6640625,4,False
grpo,aime24-13,correct_only,0,0,,,,,,False
grpo,aime24-14,all,15,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-14,correct_only,15,15,1,1.0,-0.0,0.0,1,True
grpo,aime24-15,all,0,16,3,0.375,0.3903195311147831,0.65625,4,False
grpo,aime24-15,correct_only,0,0,,,,,,False
grpo,aime24-16,all,3,16,4,0.375,0.4512591331443165,0.6953125,4,False
grpo,aime24-16,correct_only,3,3,1,1.0,-0.0,0.0,1,True
grpo,aime24-17,all,15,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-17,correct_only,15,15,1,1.0,-0.0,0.0,1,True
grpo,aime24-18,all,0,16,4,0.5625,0.40563906222956647,0.609375,3,False
grpo,aime24-18,correct_only,0,0,,,,,,False
grpo,aime24-19,all,3,16,2,0.8125,0.17405306503128645,0.3046875,2,False
grpo,aime24-19,correct_only,3,3,1,1.0,-0.0,0.0,1,True
grpo,aime24-20,all,5,16,2,0.9375,0.08432251665425347,0.1171875,1,False
grpo,aime24-20,correct_only,5,5,1,1.0,-0.0,0.0,1,True
grpo,aime24-21,all,10,16,3,0.8125,0.21709818225259064,0.3203125,2,False
grpo,aime24-21,correct_only,10,10,2,0.9,0.14118174150460758,0.17999999999999994,1,True
grpo,aime24-22,all,16,16,1,1.0,-0.0,0.0,1,False
grpo,aime24-22,correct_only,16,16,1,1.0,-0.0,0.0,1,True
grpo,aime24-23,all,10,16,2,0.625,0.23860850073124126,0.46875,3,False
grpo,aime24-23,correct_only,10,10,2,0.9,0.14118174150460758,0.17999999999999994,1,True
